v,F
1.681881615,1657.945693
2.866903612,2808.510463
4.672404042,4660.299005
6.419532474,6365.36696
7.765994719,7521.020224
9.016247085,8761.575932
10.37339689,10036.99724
11.51950342,11123.95585
12.82246981,12413.64648
14.32777232,13686.57738
15.51489077,14746.68006
16.6982094,15970.74528
17.84360697,17088.29543
19.49173759,18588.49216
21.01910437,19490.28617
22.20528925,20590.67274
23.793355,21777.98774
25.38264913,22912.2976
26.97120624,24078.41055
28.55951766,25255.12452
30.34849928,26486.96382
31.85764841,27593.91294
34.10204946,29216.70466
36.62514242,30142.19785
38.11788492,31085.68923
40.51693535,32135.19088
43.11586278,33274.04404
45.71483701,34410.87796
48.80459514,35671.38304
53.49307254,36691.2766
57.91714156,37501.6662
62.55357038,38346.88775
65.55094153,38683.59655
70.65500337,38784.15486
76.50828292,38922.41795
80.67357305,38833.51759
85.75104797,38453.40283
89.7036358,38134.31192
94.21300703,37777.57766
98.35494715,37355.60761
103.4166228,36795.40224
108.5662498,36174.68688
113.0954708,35684.41464
117.70524,35065.78583
122.072257,34465.06098
125.3922196,34022.17364
129.6446686,33523.92539
133.9488328,32972.67199
138.8623851,32268.46093
143.3155597,31822.94246
148.3785377,31206.54094
153.5368529,30498.20596
157.8958058,30096.48953
162.8063509,29522.03778
166.9416268,28996.61388
170.6343822,28619.50492
174.8530727,28191.60893
179.3577652,27701.60591
184.2186771,27090.31369
189.6813172,26656.58025
195.146395,26117.6626
199.5135348,25649.95868
204.5067119,25244.52349
208.6556073,24857.58601
213.1766396,24332.83519
216.7999721,24168.51927
221.6570603,23722.21605
227.290075,23198.52533
231.4019139,22958.23539
236.3256384,22541.26167
240.4739021,22181.58397
244.8391701,21794.6465
248.9697275,21576.56823
254.4311603,21194.93127
259.1711687,20821.16935
263.8357503,20589.91553
267.8678181,20264.63708
271.9284149,19953.19767
